#,Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
1,2025,Carlos Santana,2 Tms,148,0.115,0.176,0.7,0.231,0.318,0.346,0.664,0.115,0.257,15,-2.2,0.294,89
2,2025,Jason Heyward,SDP,12,0.083,0.167,0.5,0.364,0.417,0.364,0.78,0,0.444,2,0.4,0.352,130
3,2025,Tommy Pham,PIT,122,0.148,0.197,0.8,0.216,0.328,0.324,0.651,0.108,0.247,12,-2.4,0.289,82
4,2025,Sandy León,ATL,4,0,0.25,0,0,0,0,0,0,0,-1,-1,0,-100
5,2025,Giancarlo Stanton,NYY,78,0.167,0.308,0.5,0.277,0.397,0.554,0.951,0.277,0.361,14,5.2,0.396,158
6,2025,Tucker Barnhart,TEX,5,0,0.4,0,0,0,0,0,0,0,-1,-1.3,0,-100
7,2025,Justin Turner,CHC,109,0.083,0.183,0.5,0.276,0.33,0.429,0.759,0.153,0.312,14,1.3,0.328,112
8,2025,Jon Singleton,HOU,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-100
9,2025,Freddie Freeman,LAD,175,0.08,0.24,0.3,0.285,0.349,0.506,0.855,0.222,0.339,28,7.3,0.364,136
10,2025,Rob Brantly,MIA,7,0,0.143,0,0.429,0.429,0.429,0.857,0,0.5,1,0.4,0.378,143
11,2025,Jose Altuve,HOU,124,0.097,0.226,0.4,0.261,0.331,0.468,0.799,0.207,0.286,18,2.9,0.342,120
12,2025,Nick Martini,COL,5,0.2,0,1,0,0.2,0,0.2,0,0,0,-0.7,0.138,-33
13,2025,Kyle Higashioka,TEX,110,0.036,0.209,0.2,0.25,0.282,0.404,0.686,0.154,0.291,11,-1.6,0.295,89
14,2025,Nick Ahmed,TEX,7,0,0.286,0,0,0,0,0,0,0,-1,-1.8,0,-100
15,2025,Wilmer Flores,SFG,151,0.06,0.192,0.3,0.236,0.285,0.386,0.67,0.15,0.255,15,-2.6,0.292,88
16,2025,Austin Barnes,LAD,7,0,0.143,0,0.286,0.286,0.429,0.714,0.143,0.333,1,0,0.305,95
17,2025,Martín Maldonado,SDP,52,0.096,0.288,0.3,0.283,0.353,0.413,0.766,0.13,0.4,7,1,0.337,120
18,2025,Omar Narváez,CHW,3,0,0.333,0,0,0,0,0,0,0,0,-0.8,0,-100
19,2025,Salvador Perez,KCR,144,0.042,0.201,0.2,0.213,0.257,0.309,0.566,0.096,0.257,8,-8.8,0.238,45
20,2025,Jesse Winker,NYM,5,0,0.4,0,0.2,0.2,0.6,0.8,0.4,0.333,1,0,0.317,106
21,2025,Travis d'Arnaud,LAA,48,0.042,0.333,0.1,0.178,0.229,0.356,0.585,0.178,0.222,3,-2.3,0.254,59
22,2025,Dom Nuñez,CLE,6,0,0.5,0,0.333,0.333,0.333,0.667,0,0.667,1,-0.1,0.294,88
23,2025,Miguel Rojas,LAD,135,0.096,0.126,0.8,0.295,0.363,0.516,0.879,0.221,0.303,23,6.8,0.376,143
24,2025,Billy McKinney,TEX,1,0,0,0,0,0,0,0,0,0,0,-0.3,0,-100
25,2025,Donovan Solano,2 Tms,101,0.03,0.248,0.1,0.177,0.208,0.24,0.448,0.063,0.225,3,-9.4,0.198,28
26,2025,J.D. Davis,LAA,1,0,0,0,0,0,0,0,0,0,0,-0.3,0,-100
27,2025,Paul Goldschmidt,NYY,168,0.101,0.113,0.9,0.336,0.411,0.57,0.981,0.235,0.35,33,13.5,0.412,169
28,2025,Sergio Alcántara,SFG,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-100
29,2025,Starling Marte,NYM,147,0.075,0.204,0.4,0.263,0.327,0.406,0.733,0.143,0.31,18,0.9,0.321,109
30,2025,Luis Guillorme,HOU,3,0,0.667,0,0,0,0,0,0,0,0,-0.8,0,-100
31,2025,Christian Vázquez,MIN,60,0.133,0.2,0.7,0.118,0.25,0.137,0.387,0.02,0.154,2,-5.6,0.199,21
32,2025,Aramis Garcia,ARI,2,0,0.5,0,0,0,0,0,0,0,0,-0.5,0,-100
33,2025,Nolan Arenado,STL,112,0.071,0.063,1.1,0.294,0.339,0.402,0.741,0.108,0.295,13,0,0.313,102
34,2025,Vimael Machín,BAL,2,0,0.5,0,0,0,0,0,0,0,0,-0.5,0,-100
35,2025,Andrew McCutchen,PIT,150,0.12,0.24,0.5,0.267,0.353,0.389,0.743,0.122,0.344,19,1.1,0.322,104
36,2025,Tyler Alexander,CHW,1,0,0,0,0,0,0,0,0,0,0,-0.3,0,-100
37,2025,DJ LeMahieu,NYY,51,0.137,0.275,0.5,0.227,0.333,0.227,0.561,0,0.333,4,-1.9,0.268,70
38,2025,Sam Hilliard,COL,4,0.25,0.5,0.5,0,0.25,0,0.25,0,0,0,-0.5,0.173,-10
39,2025,Mike Trout,LAA,105,0.124,0.371,0.3,0.222,0.314,0.367,0.681,0.144,0.34,11,-1.7,0.293,85
40,2025,Garrett Stubbs,PHI,1,0,0,0,0,0,0,0,0,0,0,-0.3,0,-100
41,2025,Jose Iglesias,SDP,137,0.102,0.197,0.5,0.233,0.319,0.342,0.66,0.108,0.293,14,-1.9,0.296,92
42,2025,Seth Brown,ATH,6,0,0.667,0,0,0,0,0,0,0,-1,-1.5,0,-100
43,2025,Randal Grichuk,2 Tms,183,0.06,0.24,0.3,0.227,0.273,0.43,0.703,0.203,0.264,20,-2,0.3,89
44,2025,Jake Fraley,2 Tms,11,0.182,0.273,0.7,0.222,0.364,0.222,0.586,0,0.333,1,-0.2,0.286,78
45,2025,Marcell Ozuna,ATL,141,0.213,0.234,0.9,0.22,0.383,0.349,0.732,0.128,0.28,19,1.9,0.33,111
46,2025,Donovan Walton,PHI,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-100
47,2025,Enrique Hernández,LAD,108,0.093,0.222,0.4,0.202,0.269,0.415,0.683,0.213,0.191,11,-2,0.29,85
48,2025,Nicky Lopez,2 Tms,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-100
49,2025,Gio Urshela,ATH,47,0.106,0.255,0.4,0.22,0.298,0.317,0.615,0.098,0.3,4,-1.5,0.274,70
50,2025,Trenton Brooks,SDP,2,0,1,0,0,0,0,0,0,0,0,-0.5,0,-100
51,2025,Jurickson Profar,ATL,107,0.103,0.168,0.6,0.263,0.346,0.411,0.756,0.147,0.297,14,1.8,0.334,114
52,2025,Dairon Blanco,KCR,5,0,0.4,0,0.2,0.2,0.4,0.6,0.2,0.333,0,-0.3,0.25,54
53,2025,Gary Sánchez,BAL,42,0.048,0.262,0.2,0.211,0.262,0.316,0.578,0.105,0.259,3,-2,0.255,61
54,2025,Chuckie Robinson,LAD,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-100
55,2025,Mark Canha,KCR,69,0.043,0.174,0.3,0.238,0.29,0.317,0.607,0.079,0.275,6,-2.4,0.27,68
56,2025,Carter Kieboom,LAA,2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-100
57,2025,Christian Yelich,MIL,206,0.083,0.277,0.3,0.242,0.316,0.344,0.66,0.102,0.328,21,-3.3,0.293,87
58,2025,Keston Hiura,COL,4,0,0.5,0,0.25,0.25,0.25,0.5,0,0.5,0,-0.3,0.221,23
59,2025,Michael A. Taylor,CHW,139,0.029,0.367,0.1,0.221,0.241,0.45,0.691,0.229,0.312,13,-3,0.286,82
60,2025,Jared Young,NYM,2,0,0,0,0.5,0.5,0.5,1,0,0.5,0,0.2,0.441,191
61,2025,Manny Machado,SDP,187,0.107,0.193,0.6,0.25,0.332,0.494,0.825,0.244,0.246,27,5.3,0.348,128
62,2025,Brewer Hicklen,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2025,Bryce Harper,PHI,229,0.083,0.218,0.4,0.273,0.336,0.478,0.815,0.206,0.315,34,7.2,0.352,125
64,2025,CJ Alexander,ATH,1,0,1,0,0,0,0,0,0,0,0,-0.3,0,-100
65,2025,Willson Contreras,STL,145,0.11,0.248,0.4,0.276,0.375,0.488,0.863,0.211,0.349,24,6.9,0.371,142
66,2025,Connor Kaiser,ARI,5,0,0.4,0,0.2,0.2,0.4,0.6,0.2,0.333,0,-0.3,0.25,56
67,2025,Elias Díaz,SDP,87,0.057,0.218,0.3,0.2,0.247,0.313,0.56,0.113,0.224,6,-4.6,0.248,59
68,2025,Nick Maton,CHW,1,1,0,1,0,1,0,1,0,0,0,0.3,0.691,361
69,2025,Nick Castellanos,PHI,188,0.059,0.261,0.2,0.243,0.293,0.387,0.68,0.145,0.306,20,-2.7,0.296,87
70,2025,Carlos Cortes,ATH,5,0,0,0,0.4,0.4,0.4,0.8,0,0.4,1,0.2,0.353,125
71,2025,J.T. Realmuto,PHI,166,0.054,0.259,0.2,0.213,0.265,0.335,0.601,0.123,0.275,13,-6.9,0.262,64
72,2025,Akil Baddoo,DET,2,0,0,0,0.5,0.5,1,1.5,0.5,0.5,1,0.5,0.626,315
73,2025,Joc Pederson,TEX,19,0.316,0.211,1.5,0.231,0.474,0.538,1.012,0.308,0.25,4,1.9,0.438,188
74,2025,Mason McCoy,SDP,6,0.333,0.167,2,0,0.333,0,0.333,0,0,0,-0.4,0.23,47
75,2025,Jon Berti,CHC,30,0.033,0.1,0.3,0.207,0.233,0.207,0.44,0,0.231,1,-2.8,0.2,24
76,2025,Trevor Rogers,BAL,2,0,1,0,0,0,0,0,0,0,0,-0.5,0,-100
77,2025,Max Kepler,PHI,76,0.079,0.224,0.4,0.217,0.276,0.348,0.624,0.13,0.255,7,-2.4,0.274,71
78,2025,George Valera,CLE,5,0,0,0,0,0,0,0,0,0,-1,-1.3,0,-100
79,2025,Xander Bogaerts,SDP,171,0.082,0.152,0.5,0.292,0.345,0.429,0.774,0.136,0.328,22,2.2,0.329,114
80,2025,Michael Siani,STL,3,0,0.333,0,0,0,0,0,0,0,0,-0.8,0,-100
81,2025,Jorge Alfaro,WSN,9,0,0.333,0,0.444,0.444,0.556,1,0.111,0.667,2,0.9,0.433,182
82,2025,Jarred Kelenic,ATL,6,0,0.667,0,0,0,0,0,0,0,-1,-1.5,0,-100
83,2025,Kevin Pillar,TEX,35,0,0.2,0,0.229,0.229,0.286,0.514,0.057,0.286,2,-2.6,0.223,39
84,2025,Steward Berroa,MIL,4,0.25,0.25,1,0,0.25,0,0.25,0,0,0,-0.5,0.173,5
85,2025,Marcus Semien,TEX,144,0.118,0.181,0.7,0.234,0.319,0.323,0.642,0.089,0.265,14,-2.9,0.289,85
86,2025,David Bañuelos,BAL,1,0,1,0,0,0,0,0,0,0,0,-0.3,0,-100
87,2025,Eugenio Suárez,2 Tms,184,0.109,0.31,0.4,0.164,0.261,0.453,0.714,0.289,0.141,20,-1.8,0.301,94
88,2025,Ryan Noda,CHW,4,0.25,0.75,0.3,0,0.25,0,0.25,0,0,0,-0.5,0.173,3
89,2025,Trevor Story,BOS,170,0.053,0.241,0.2,0.258,0.306,0.428,0.734,0.17,0.306,21,0.4,0.316,98
90,2025,Jordyn Adams,BAL,1,0,0,0,0,0,0,0,0,0,0,-0.3,0,-100
