#,Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
1,2025,Carlos Santana,2 Tms,326,0.107,0.199,0.5,0.214,0.304,0.316,0.619,0.102,0.25,30,-8.8,0.28,79
2,2025,Jon Singleton,HOU,7,0.0,0.143,0.0,0.143,0.143,0.143,0.286,0.0,0.167,0,-1.1,0.126,-28
3,2025,Tommy Pham,PIT,327,0.098,0.214,0.5,0.255,0.33,0.386,0.716,0.131,0.31,39,0.4,0.314,99
4,2025,Nick Ahmed,TEX,3,0.333,0.333,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0,-0.2,0.23,45
5,2025,Jason Heyward,SDP,83,0.06,0.217,0.3,0.149,0.195,0.257,0.452,0.108,0.158,2,-7.8,0.198,25
6,2025,Colin Rea,CHC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.3,0.0,-100
7,2025,Giancarlo Stanton,NYY,203,0.079,0.355,0.2,0.272,0.332,0.609,0.94,0.337,0.33,37,13.4,0.395,157
8,2025,Omar Narváez,CHW,7,0.286,0.0,2.0,0.5,0.571,0.5,1.071,0.0,0.4,2,0.8,0.45,194
9,2025,Justin Turner,CHC,82,0.098,0.207,0.5,0.141,0.232,0.155,0.387,0.014,0.179,1,-8.3,0.188,16
10,2025,Manuel Margot,DET,5,0.0,0.4,0.0,0.4,0.4,0.4,0.8,0.0,0.667,1,0.2,0.353,127
11,2025,Sandy León,ATL,8,0.0,0.375,0.0,0.125,0.125,0.5,0.625,0.375,0.0,1,-0.4,0.255,60
12,2025,Dom Nuñez,CLE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.3,0.0,-100
13,2025,Freddie Freeman,LAD,452,0.102,0.19,0.5,0.299,0.374,0.5,0.874,0.201,0.343,75,21.6,0.372,141
14,2025,Jose Altuve,HOU,530,0.081,0.153,0.5,0.266,0.329,0.436,0.765,0.17,0.283,69,6.8,0.329,112
15,2025,Kyle Higashioka,TEX,217,0.074,0.226,0.3,0.236,0.295,0.402,0.697,0.166,0.273,24,-1.7,0.303,95
16,2025,J.D. Davis,LAA,8,0.0,0.375,0.0,0.125,0.125,0.125,0.25,0.0,0.2,0,-1.3,0.11,-41
17,2025,Wilmer Flores,SFG,312,0.08,0.189,0.4,0.244,0.317,0.376,0.694,0.133,0.274,35,-1.6,0.307,98
18,2025,Brian Navarreto,MIA,8,0.0,0.25,0.0,0.286,0.25,0.429,0.679,0.143,0.333,1,-0.3,0.267,67
19,2025,Martín Maldonado,SDP,109,0.028,0.385,0.1,0.168,0.192,0.287,0.479,0.119,0.25,4,-9.3,0.208,32
20,2025,Sergio Alcántara,SFG,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.5,0.0,-100
21,2025,Salvador Perez,KCR,497,0.044,0.193,0.2,0.243,0.291,0.486,0.777,0.243,0.249,66,7.3,0.331,110
22,2025,Travis d'Arnaud,LAA,183,0.06,0.317,0.2,0.202,0.262,0.339,0.602,0.137,0.28,14,-7.2,0.265,66
23,2025,Aramis Garcia,ARI,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.5,0.0,-100
24,2025,Miguel Rojas,LAD,182,0.06,0.159,0.4,0.238,0.285,0.31,0.594,0.071,0.283,14,-7.1,0.265,67
25,2025,Garrett Stubbs,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
26,2025,Donovan Solano,2 Tms,78,0.064,0.192,0.3,0.343,0.397,0.471,0.869,0.129,0.407,13,4.1,0.378,152
27,2025,Nick Solak,PIT,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.8,0.0,-100
28,2025,Paul Goldschmidt,NYY,366,0.052,0.221,0.2,0.247,0.289,0.329,0.619,0.082,0.314,31,-11.9,0.273,74
29,2025,Dairon Blanco,KCR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.8,0.0,-100
30,2025,Starling Marte,NYM,182,0.06,0.209,0.3,0.275,0.343,0.413,0.755,0.138,0.325,24,2.6,0.331,115
31,2025,Corey Julks,CHW,5,0.0,0.2,0.0,0.4,0.4,0.8,1.2,0.4,0.5,1,0.8,0.501,229
32,2025,Christian Vázquez,MIN,154,0.065,0.149,0.4,0.216,0.279,0.324,0.603,0.108,0.235,13,-5.7,0.268,68
33,2025,Brewer Hicklen,DET,4,0.25,0.25,1.0,0.667,0.75,0.667,1.417,0.0,1.0,1,1.0,0.614,307
34,2025,Nolan Arenado,STL,324,0.062,0.13,0.5,0.217,0.272,0.368,0.639,0.151,0.221,29,-9.3,0.278,78
35,2025,Logan Porter,SFG,9,0.111,0.222,0.5,0.143,0.333,0.143,0.476,0.0,0.2,1,-0.4,0.255,63
36,2025,Andrew McCutchen,PIT,401,0.122,0.204,0.6,0.228,0.326,0.358,0.684,0.13,0.27,44,-2.9,0.304,92
37,2025,Coco Montes,TBR,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.5,0.0,-100
38,2025,DJ LeMahieu,NYY,91,0.077,0.231,0.3,0.286,0.341,0.393,0.734,0.107,0.361,12,0.8,0.323,109
39,2025,Esteury Ruiz,LAD,5,0.2,0.2,1.0,0.25,0.4,0.25,0.65,0.0,0.333,1,0.0,0.315,102
40,2025,Mike Trout,LAA,451,0.164,0.308,0.5,0.235,0.369,0.456,0.825,0.221,0.303,69,15.3,0.355,128
41,2025,Ryan Vilade,STL,4,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.0,0.333,0,-0.3,0.221,39
